"scenario_index","return_code","elapsed_seconds","log_file","command"
"63","0","128.74548219999997","outputs/revised_model/main_run/logs/scenario_063.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""63"",""--reuse-gate-files""]"
"64","0","127.27440070000011","outputs/revised_model/main_run/logs/scenario_064.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""64"",""--reuse-gate-files""]"
"65","0","134.34556859999975","outputs/revised_model/main_run/logs/scenario_065.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""65"",""--reuse-gate-files""]"
"66","0","135.28273500000068","outputs/revised_model/main_run/logs/scenario_066.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""66"",""--reuse-gate-files""]"
"67","0","60.45952660000148","outputs/revised_model/main_run/logs/scenario_067.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""67"",""--reuse-gate-files""]"
"68","0","78.66351870000108","outputs/revised_model/main_run/logs/scenario_068.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""68"",""--reuse-gate-files""]"
"69","0","93.97802799999954","outputs/revised_model/main_run/logs/scenario_069.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""69"",""--reuse-gate-files""]"
"70","0","102.02746219999972","outputs/revised_model/main_run/logs/scenario_070.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""70"",""--reuse-gate-files""]"
"71","0","109.28687399999944","outputs/revised_model/main_run/logs/scenario_071.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""71"",""--reuse-gate-files""]"
"72","0","113.04541169999902","outputs/revised_model/main_run/logs/scenario_072.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""72"",""--reuse-gate-files""]"
"73","0","121.27108800000131","outputs/revised_model/main_run/logs/scenario_073.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""73"",""--reuse-gate-files""]"
