gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000000214,HHT1,Ambiguous,"null | viable ; null | colony sectoring: increased | increase in red-sectors resulting from elevated chromosome loss in a strain containing a non-essential chromosomal fragment, CFIII, carrying SUP11 that suppresses ade2-101; indicative of chromosome instability (CIN) resulting from decreased chromosome transmission fidelity (ctf) ; reduction of function | colony sectoring: increased | increase in red-sectors resulting from elevated chromosome loss in a strain containing a non-essential chromosomal fragment, CFIII, carrying SUP11 that suppresses ade2-101; indicative of chromosome instability (CIN) resulting from decreased chromosome transmission fidelity (ctf); increased beyond that of an HHT1 null mutant",7,./data\raw\sgd\phenotype_data.tab
S000000215,IPP1,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000216,YBR012C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000217,YBR013C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000218,GRX7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000219,MNN2,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000220,CPP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000221,KAP104,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000222,GAL7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000223,GAL10,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000224,GAL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000225,FUR4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000226,POA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000227,CHS3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000228,SCO2,Ambiguous,null | viable ; overexpression | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000229,OLA1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000230,ETR1,Ambiguous,"null | viable ; null | resistance to chemicals: decreased | acetic acid (200mM) | decreased viability, and by extension lifespan, relative to wt cells on plates containing acetic acid that mimics media acidification, a primary cause of chronological aging",2,./data\raw\sgd\phenotype_data.tab
S000000231,YBR027C,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000232,YPK3,Ambiguous,null | chemical compound accumulation: increased | lithium(1+) | lithium chloride (100mM) | significant 1.7-fold increase in the accumulation of Li+ relative to wt cells treated with a nonlethal EC10 concentration of LiCl ; null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000233,CDS1,Essential,null | inviable,1,./data\raw\sgd\phenotype_data.tab
S000000234,RKM3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000235,RPL4A,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000236,YBR032W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000237,EDS1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000238,HMT1,Ambiguous,"null | viable ; null | toxin resistance: decreased | α-synuclein | nonessential gene that, when deleted, leads to extreme sensitivity to low levels of α-syn that would otherwise not be toxic; strong growth defect",3,./data\raw\sgd\phenotype_data.tab
S000000239,PDX3,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
