scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,partial_hic_fallback,1.0,0.05,earlier_deletion_with_nondeletion,51
scenario,partial_hic_fallback,1.0,0.05,inversion_only_history,391
scenario,partial_hic_fallback,1.0,0.05,mixed_inversion_duplication,25
scenario,partial_hic_fallback,1.0,0.07,deletion_only,2262
scenario,partial_hic_fallback,1.0,0.07,duplication_only_history,174
scenario,partial_hic_fallback,1.0,0.07,earlier_deletion_only,171
scenario,partial_hic_fallback,1.0,0.07,earlier_deletion_with_nondeletion,116
scenario,partial_hic_fallback,1.0,0.07,inversion_only_history,584
scenario,partial_hic_fallback,1.0,0.07,mixed_inversion_duplication,61
scenario,partial_hic_fallback,1.0,0.09,deletion_only,2636
scenario,partial_hic_fallback,1.0,0.09,duplication_only_history,264
scenario,partial_hic_fallback,1.0,0.09,earlier_deletion_only,237
scenario,partial_hic_fallback,1.0,0.09,earlier_deletion_with_nondeletion,197
scenario,partial_hic_fallback,1.0,0.09,inversion_only_history,856
scenario,partial_hic_fallback,1.0,0.09,mixed_inversion_duplication,125
scenario,partial_hic_fallback,1.0,0.1,deletion_only,2756
scenario,partial_hic_fallback,1.0,0.1,duplication_only_history,319
scenario,partial_hic_fallback,1.0,0.1,earlier_deletion_only,275
scenario,partial_hic_fallback,1.0,0.1,earlier_deletion_with_nondeletion,223
scenario,partial_hic_fallback,1.0,0.1,inversion_only_history,961
scenario,partial_hic_fallback,1.0,0.1,mixed_inversion_duplication,159
scenario,partial_hic_fallback,1.0,0.12,deletion_only,2786
scenario,partial_hic_fallback,1.0,0.12,duplication_only_history,350
scenario,partial_hic_fallback,1.0,0.12,earlier_deletion_only,336
scenario,partial_hic_fallback,1.0,0.12,earlier_deletion_with_nondeletion,355
scenario,partial_hic_fallback,1.0,0.12,inversion_only_history,1129
scenario,partial_hic_fallback,1.0,0.12,mixed_inversion_duplication,227
scenario,partial_hic_fallback,1.0,0.15,deletion_only,2948
scenario,partial_hic_fallback,1.0,0.15,duplication_only_history,391
scenario,partial_hic_fallback,1.0,0.15,earlier_deletion_only,337
scenario,partial_hic_fallback,1.0,0.15,earlier_deletion_with_nondeletion,579
scenario,partial_hic_fallback,1.0,0.15,inversion_only_history,1405
scenario,partial_hic_fallback,1.0,0.15,mixed_inversion_duplication,359
scenario,partial_hic_fallback,1.0,0.18,deletion_only,3028
scenario,partial_hic_fallback,1.0,0.18,duplication_only_history,424
scenario,partial_hic_fallback,1.0,0.18,earlier_deletion_only,432
scenario,partial_hic_fallback,1.0,0.18,earlier_deletion_with_nondeletion,794
scenario,partial_hic_fallback,1.0,0.18,inversion_only_history,1543
scenario,partial_hic_fallback,1.0,0.18,mixed_inversion_duplication,494
scenario,partial_hic_fallback,1.0,0.2,deletion_only,2947
scenario,partial_hic_fallback,1.0,0.2,duplication_only_history,457
