scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,1.0,0.1,inversion,1603,1276,0.49469744229569557,0.0,0.01684341859014348,0.018091079226450407,0.012625392341599744,0.025860955195189172,0.0,0.0,50,0.38,0.0
scenario,linear_distance,1.0,0.12,duplication,742,666,0.48787061994609165,0.029649595687331536,0.029649595687331536,0.029649595687331536,0.019660398800806188,0.04448387509935999,-0.03696091684847095,0.0,50,0.02,-0.0262834648416312
scenario,linear_distance,1.0,0.12,inversion,2158,1646,0.510194624652456,0.0,0.025949953660797033,0.026876737720111215,0.020848568648971163,0.034586328453089614,0.0,0.0,50,0.32,0.0
scenario,linear_distance,1.0,0.15,duplication,1138,991,0.5298769771528998,0.04569420035149385,0.04569420035149385,0.04569420035149385,0.035014451742629134,0.05943076040799109,-0.0331874300322238,0.0,50,0.12,-0.0082404338219147
scenario,linear_distance,1.0,0.15,inversion,3010,2185,0.4913621262458472,0.0,0.03289036544850498,0.03322259136212625,0.027391598129794935,0.0402434986746855,0.0,0.0,50,0.26,0.0
scenario,linear_distance,1.0,0.18,duplication,1400,1204,0.4757142857142857,0.039285714285714285,0.039285714285714285,0.03785714285714286,0.02905847329700769,0.04918501932143025,-0.0290705990618369,0.0,50,0.08,-0.0147253200384178
scenario,linear_distance,1.0,0.18,inversion,3764,2610,0.5087672688629118,0.0,0.03002125398512221,0.031615302869287994,0.026485522585094852,0.0377001554652732,0.0,0.0,50,0.32,0.0
scenario,linear_distance,1.0,0.2,duplication,1599,1362,0.5090681676047529,0.04940587867417136,0.04940587867417136,0.04690431519699812,0.03758253914356752,0.05839791979332849,-0.0290705990618369,0.0,50,0.0,-0.022232909188229
scenario,linear_distance,1.0,0.2,inversion,4378,2885,0.5159890360895386,0.0,0.03540429419826405,0.03631795340338054,0.031170353477029716,0.04227855193072384,0.0,0.0,50,0.26,0.0
scenario,linear_distance,1.0,0.25,duplication,2108,1708,0.49335863377609107,0.04601518026565465,0.04601518026565465,0.04316888045540797,0.03529208829117531,0.052707632542259165,-0.0331874300322238,0.0,50,0.02,-0.0196535861722149
scenario,linear_distance,1.0,0.25,inversion,5827,3584,0.4999141925519135,0.0,0.031920370688175735,0.032778445169040674,0.028505658053692567,0.03766685950584536,0.0,0.0,50,0.28,0.0
scenario,linear_distance,1.0,0.3,duplication,2677,2128,0.4945834889802017,0.04109077325364214,0.04109077325364214,0.037728800896525964,0.031148151807719713,0.0456342547547497,-0.03126742903616915,0.0,50,0.06,-0.01350845650123055
scenario,linear_distance,1.0,0.3,inversion,7444,4240,0.5013433637829124,0.0,0.03076303062869425,0.0315690488984417,0.027832331211739905,0.035788982620002574,0.0,0.0,50,0.32,0.0
scenario,linear_distance,1.5,0.03,duplication,50,50,0.4,0.0,0.0,0.0,6.938893903907228e-18,0.07134759913335872,-0.0067600956705896505,0.0,50,0.04,-0.0044002585023773
scenario,linear_distance,1.5,0.03,inversion,134,122,0.4552238805970149,0.0,0.007462686567164179,0.007462686567164179,0.001318564353840538,0.041059533430896106,0.0,0.0,50,0.16,0.0
