model_key,model_name,alpha,p_event,seed,pearson_r,spearman_r,rmse,hotspot_auroc_top10_within_chromosome,hotspot_auprc_top10_within_chromosome,hotspot_positive_fraction,n_sites
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.1,655664069,0.3655957793169346,0.12762709506282768,0.014002398127390311,0.5426371719800477,0.13088740166814863,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.12,2377434645,0.40624827256959645,0.14142314984956456,0.013718074698659335,0.5328562134027326,0.13613011091015625,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.15,3687257994,0.3742275711922805,0.13188322479097955,0.01394041665733997,0.5250487963565387,0.12584365323124994,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.18,1937718534,0.3918186815446895,0.12524746006158816,0.013815773720296064,0.5200173498156582,0.13029388418051518,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.2,4261704054,0.370506673432923,0.13944992857878172,0.013964083366188429,0.5369767946215571,0.12489002755874153,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.25,2443038446,0.3666554450220497,0.1326291307069149,0.013986840547144877,0.5144654088050314,0.12114391613607901,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.3,1581526928,0.3985765193027477,0.11731281178460669,0.013769821320685494,0.5326827152461505,0.14184857612606608,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.03,3807846787,0.27956217951648826,0.056162693120146594,0.014823497767251692,0.4943179353719367,0.12053950952085321,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.05,2604182243,0.3657951285485012,0.1365367936780969,0.014076224485985864,0.5428974192149209,0.13088134207885135,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.07,2312135107,0.35309844021110015,0.11494653666921056,0.014181348616318106,0.5273910214703968,0.13364204113647377,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.09,1859482873,0.3414730242354561,0.10896986425403193,0.014194270443885623,0.49401431359791803,0.13670755738849166,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.1,920122771,0.35960585173569454,0.10148339129154538,0.014063818042709822,0.5198438516590761,0.12467139559605965,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.12,1352135446,0.31932180113996583,0.12689113730542165,0.014375975876744374,0.516222077640425,0.11853282452954961,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.15,2004561742,0.3694383797275196,0.1138008842550258,0.013982975205165744,0.5362611147256561,0.13168941551405855,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.18,2061484420,0.40606990806176707,0.14861907057329243,0.01372366583797156,0.5315766644979397,0.1329773612904408,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.2,1091403980,0.3743666008970351,0.11093917817614579,0.013939235563700572,0.4990674474083713,0.11829378575869287,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.25,1135711084,0.3822737681808215,0.12154840048654714,0.013886744334873231,0.5289091303404901,0.12879025803367683,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.3,4122858386,0.34741977631925236,0.12488780734847417,0.014128961791056565,0.5309694209499024,0.12424571239952972,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.03,1713891987,0.45086589541930333,0.13874275763060148,0.013602312760983415,0.5322272825851225,0.20057204020433878,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.05,3032681791,0.35861313702922015,0.10647803347753049,0.014161572906025814,0.5463023205378443,0.15240005025636819,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.07,1316201356,0.2945393916192005,0.1043607737872331,0.014684453588622874,0.5439817826935589,0.1320981354177071,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.09,3674923251,0.3511952144424735,0.07579917780005399,0.014179613277825074,0.5015614834092388,0.12557849047104705,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.1,1477168291,0.3898270437438088,0.0946542790231339,0.013880961494169486,0.5250487963565387,0.17003758271655386,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.12,2079310279,0.31445385561539163,0.09124463817258244,0.01445938279879675,0.5177618737800911,0.12156346809575902,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.15,1585545789,0.30977484226891294,0.10522896300527515,0.014432764146289622,0.5057688137063544,0.11281919859701704,0.10860655737704918,488
